price_paid,deed_date
599995,2021-01-22
180000,2002-06-25
515000,2020-08-28
325000,2013-09-18
287500,2007-10-22
215000,2004-12-03
139000,2001-05-12
437000,2017-09-28
460000,2017-07-10
205000,2005-12-01
312000,2014-12-04
235000,2011-03-25
84000,1997-06-06
77000,1996-01-25
295000,2015-04-14
417000,2021-03-03
383000,2019-11-11
287000,2014-09-22
413275,2021-03-03
237000,2010-07-30
195000,2002-11-27
445000,2021-02-04
346000,2015-12-04
269995,2013-07-19
182500,2002-11-13
79000,1995-04-10
103000,1998-12-04
437000,2020-12-14
310000,2014-10-29
230000,2009-01-26
217500,2004-11-16
112000,1999-10-01
345000,2021-03-05
200000,2007-05-14
157500,2003-12-11
105000,2001-10-15
57500,1996-11-15
290000,2021-01-08
115000,2002-01-28
95000,2000-06-09
157500,2003-09-12
456000,2019-11-11
310000,2014-04-08
192000,2009-12-04
160000,2005-07-13
98000,2000-11-17
65000,1998-03-27
285000,2016-12-19
173000,2006-07-21
135000,2003-02-25
95000,2001-05-11
58000,1996-10-25
190000,2013-09-23
160000,2005-07-08
56975,2002-04-03
70500,1998-10-08
58000,1996-07-29
58500,1995-07-21
235000,2013-03-26
225000,2009-07-10
540000,2022-04-04
92000,2001-03-09
59000,1995-06-30
302500,2022-03-30
155000,2004-03-25
60000,1998-07-31
465000,2020-09-22
275000,2014-04-09
250000,2010-08-04
129995,2000-10-02
453750,2021-09-30
401000,2019-09-06
280000,2014-02-20
212500,2009-06-12
90000,1998-01-09
350000,2021-01-25
346000,2016-06-30
199995,2007-05-10
159995,2004-01-12
100000,2001-05-02
65000,1997-06-27
390000,2019-11-07
270000,2013-02-01
310000,2013-05-16
270000,2004-06-01
175000,2001-10-16
123000,2008-08-28
197000,2002-11-22
85500,1997-07-31
269995,2007-11-05
133000,2000-07-28
370000,2017-10-20
248000,2010-08-23
200000,2006-11-03
87500,1997-11-03
395000,2018-10-22
240000,2012-07-27
180000,2009-03-20
102995,2000-11-30
200000,2005-01-10
130000,2006-09-13
230000,2004-08-09
370000,2017-03-31
189000,2003-11-28
550200,2022-05-30
450000,2016-10-05
190000,2004-08-06
207000,2004-11-30
118500,2000-12-07
78000,1996-11-01
441750,2018-07-10
180000,2003-11-21
153500,2003-03-26
202500,2006-05-03
165000,2003-04-20
179000,2004-11-12
160000,2003-07-15
128650,2001-11-30
80000,1999-07-02
125000,2001-09-04
215000,2005-07-28
174995,2002-08-28
79995,1997-03-24
250000,2008-08-04
72000,1995-02-03
250000,2013-04-30
175000,2009-09-15
185000,2006-11-03
75000,1997-05-30
236000,2007-07-18
225000,2012-08-21
66000,1996-10-17
135000,2002-07-29
92500,2000-06-02
84500,1997-12-19
225000,2005-12-14
191000,2003-03-31
126000,2000-10-18
95000,2000-02-11
85000,1998-11-11
477000,2022-10-07
200000,2005-06-10
192000,2004-07-26
125000,2001-03-26
362000,2016-03-01
92000,1999-08-06
200000,2010-06-28
240000,2007-05-18
159995,2002-03-01
70000,1996-04-30
166000,2003-09-22
62000,2001-08-13
207000,2003-03-18
500000,2022-03-18
327000,2015-02-12
210000,2009-10-16
217500,2007-01-05
225000,2008-08-27
210000,2005-08-19
115000,2001-01-26
435000,2019-01-09
235000,2005-05-06
218000,2004-04-15
205000,2009-01-15
490000,2020-09-22
285000,2010-04-19
245000,2005-05-03
247000,2012-08-21
362000,2019-01-04
235000,2007-07-05
184995,2004-06-11
154995,2002-07-31
89000,1999-11-05
237000,2008-01-25
75000,1998-03-27
220000,2009-10-19
229000,2012-08-14
218000,2007-06-22
132000,2003-03-28
425000,2020-10-20
388000,2017-10-20
205000,2006-02-17
120000,2001-07-16
67500,1995-11-24
249995,2007-11-16
245000,2005-07-14
91000,1997-03-27
250000,2012-01-31
143000,2002-04-29
196000,2003-10-27
480000,2018-10-09
220000,2012-08-06
128500,2001-11-12
284995,2013-05-30
133000,2001-08-10
340000,2016-06-24
219995,2006-12-04
99500,1999-08-31
410000,2019-11-29
250000,2014-03-12
199995,2005-12-20
169995,2002-08-15
103000,2002-03-28
233000,2010-12-03
134000,2001-07-16
88500,1998-05-22
193000,2009-10-20
430000,2021-06-18
220000,2008-02-28
180000,2003-10-03
410000,2022-05-23
385000,2017-02-13
355050,2016-10-14
90000,1999-09-16
87000,1999-02-12
179000,2004-04-28
465000,2023-06-09
236000,2009-01-12
64000,1995-07-10
240000,2011-02-28
143000,2002-05-24
123000,2000-06-30
73500,1997-09-22
123000,2001-04-12
184750,2011-07-06
61500,1995-09-29
224000,2010-03-26
190000,2009-05-07
385000,2018-07-17
60000,1997-01-17
460000,2019-07-19
192000,2006-06-21
151000,2009-10-05
155000,2002-10-31
209000,2006-11-27
180000,2005-11-17
234000,2008-07-31
210000,2006-10-30
200000,2007-09-13
195000,2012-02-17
178000,2009-09-23
217750,2007-06-22
415000,2023-04-13
247000,2013-11-05
450000,2017-07-27
235000,2007-07-20
95000,1999-07-01
257500,2014-02-17
236950,2007-08-31
365000,2019-08-30
193500,2004-07-09
57000,1995-05-26
197000,2010-05-07
285000,2014-08-29
200000,2004-07-29
154000,2003-10-06
375000,2018-07-13
425000,2023-03-28
175000,2005-10-07
152000,2003-03-07
435000,2022-08-19
118000,2001-09-24
54500,1996-05-31
195000,2009-10-23
169000,2006-05-05
350000,2017-11-09
118000,2001-05-18
400000,2018-08-24
209500,2012-02-10
178500,2011-05-03
216500,2008-10-30
343000,2017-06-23
460000,2022-12-16
387550,2018-08-17
215000,2012-11-29
249995,2013-08-22
117000,2001-10-29
73000,1997-01-31
241100,2016-11-28
322500,2015-09-18
270000,2014-06-12
224995,2008-06-16
109995,2000-12-14
73000,1997-07-18
63000,1995-03-20
443500,2022-02-09
250000,2008-06-09
113000,2000-09-08
220000,2011-09-30
69500,1997-08-01
400000,2019-10-17
185000,2005-06-30
437500,2022-03-07
250000,2014-09-08
200000,2004-11-12
215000,2006-09-29
133000,2002-04-26
97000,2000-08-15
250000,2016-01-29
190000,2012-09-14
229995,2007-11-12
510000,2021-05-26
87000,1998-06-26
69000,1995-01-27
234950,2006-11-27
101000,1999-08-26
399950,2018-02-13
220000,2012-10-26
184995,2003-02-28
51000,1996-06-04
220000,2006-07-06
65000,1996-08-29
377500,2019-04-18
285000,2015-06-19
243500,2014-10-10
185000,2005-02-15
58000,1996-05-31
193000,2005-11-02
220000,2008-02-27
150000,2002-12-06
116000,2000-07-24
500000,2022-10-03
395000,2016-05-26
250000,2013-03-11
70000,1996-12-19
190000,2004-07-19
125000,2002-01-11
300000,2015-08-14
169995,2003-03-14
560000,2021-03-04
465000,2016-03-30
122000,2001-10-05
190000,2006-05-26
179995,2003-12-05
395000,2020-02-20
137400,2002-04-18
62000,1995-08-23
249995,2007-07-16
499950,2018-06-29
142000,2001-07-12
70000,1996-03-29
345500,2015-11-26
74000,1995-06-30
370200,2019-06-11
500000,2021-12-13
315000,2014-06-27
74500,1997-08-05
235000,2006-10-02
220000,2003-09-26
112000,1999-08-23
431500,2018-01-12
205100,2012-06-29
193000,2006-08-01
193500,2004-10-01
125000,2000-12-15
93500,2000-01-28
225000,2003-10-24
77500,1997-09-08
236000,2008-09-30
205000,2007-07-16
375000,2015-05-28
230000,2006-02-09
197000,2006-11-02
182000,2004-11-30
330000,2019-06-21
177500,2004-08-03
157000,2003-06-03
60000,1996-03-29
210000,2004-08-13
149995,2003-06-18
245000,2009-05-22
275000,2007-10-08
395000,2018-12-13
244000,2006-09-12
239995,2006-04-21
170000,2005-12-05
200000,2006-11-20
92500,1999-11-02
63013,1995-02-24
189995,2003-03-28
63950,1996-06-28
340000,2015-08-10
189995,2003-04-10
77000,1997-03-24
73000,1997-09-12
59000,1995-05-25
282000,2015-04-01
210000,2008-03-06
456750,2022-07-14
360000,2016-08-10
213500,2011-08-05
335000,2019-12-16
148000,2003-02-26
84995,1999-10-15
362500,2018-08-20
250000,2014-04-17
215000,2011-02-23
162000,2003-02-05
114000,2000-08-09
172000,2011-08-08
435000,2021-08-12
360000,2018-11-15
235000,2013-07-22
185000,2005-11-25
185000,2004-11-11
100000,2000-09-01
400000,2021-09-24
485000,2023-02-24
216500,2012-01-20
181000,2006-01-12
179000,2004-04-30
280000,2015-04-02
195000,2006-03-17
148000,2003-01-24
390000,2019-03-08
123000,2001-07-06
93995,1999-09-17
64000,1995-08-04
229995,2005-01-06
160000,2002-05-14
175500,2006-03-17
425000,2017-02-13
275000,2013-05-17
424000,2022-12-02
90000,2009-07-15
195000,2005-02-11
390000,2017-05-03
370000,2020-03-30
222000,2005-07-26
87500,1998-03-31
191500,2004-01-30
250000,2011-08-22
278500,2014-09-05
370000,2015-12-07
470000,2023-06-15
229995,2012-11-22
200000,2010-06-18
214000,2008-10-31
198000,2004-09-24
118000,2001-03-30
215000,2013-03-15
380000,2017-05-10
250000,2014-07-03
410000,2023-10-27
215000,2012-03-15
365000,2018-11-02
190000,2009-11-18
104000,2000-02-28
69995,1996-08-30
283000,2015-04-08
370000,2017-10-11
223000,2006-10-13
311000,2014-09-29
289995,2015-04-01
207000,2005-09-16
122000,2000-07-21
270000,2014-02-19
230000,2007-03-09
84500,2001-10-15
233000,2007-03-01
184000,2004-12-13
123000,2001-10-19
88000,1998-08-26
214500,2013-03-01
190000,2009-06-03
100000,2000-02-28
432000,2021-12-20
58000,2002-07-16
110000,2005-02-14
72000,2001-10-29
241000,2012-02-27
175000,2009-12-08
167500,2003-08-04
129500,2001-12-14
106700,2000-02-24
60000,1995-03-30
63000,1996-08-02
491000,2021-06-28
185000,2005-06-08
66500,1995-01-25
330000,2017-03-09
450000,2023-08-23
367500,2017-06-22
244000,2013-10-21
183000,2003-12-12
410000,2021-04-16
330000,2019-07-01
89500,1998-01-12
190000,2003-10-08
395000,2016-03-04
421000,2021-06-25
98000,2000-04-27
192000,2005-07-13
435000,2018-01-26
225000,2008-09-22
235000,2007-03-23
264995,2006-11-22
425000,2019-06-21
340000,2014-08-08
123000,1999-04-28
75000,1995-09-18
155000,2001-07-31
147500,2000-06-23
77000,1997-09-11
292500,2010-03-01
250000,2005-08-30
136250,2000-06-15
238500,2003-09-12
95950,1997-11-20
268000,2007-04-13
359995,2011-04-06
217000,2005-05-06
183000,2004-02-17
84000,1998-04-07
75000,1995-06-02
240000,2013-04-26
184000,2012-06-11
495000,2021-06-28
250000,2013-02-01
310000,2013-10-11
250000,2007-06-04
176000,2004-01-23
100000,2000-03-17
390000,2019-07-03
215000,2009-09-25
172000,2003-11-28
207000,2005-12-19
620000,2022-09-21
365000,2015-01-07
201500,2005-05-19
333000,2021-01-12
135000,2002-09-12
200000,2004-10-29
570000,2023-05-12
370000,2021-04-06
525000,2023-07-14
145000,2002-07-26
104000,2000-10-18
314995,2013-04-19
270000,2009-10-09
125000,2008-09-09
575000,2021-06-02
85000,1995-07-21
605000,2022-02-04
64995,1996-03-06
270000,2006-12-20
60000,1996-05-24
199000,2012-06-20
395000,2020-03-13
248995,2007-09-20
210000,2006-06-16
120000,2005-08-08
315000,2020-05-29
305000,2019-11-22
337500,2016-03-02
304000,2015-07-13
425450,2022-04-14
139995,2002-09-26
357000,2016-12-16
399995,2021-05-26
250000,2013-12-12
430000,2022-02-10
175000,2004-12-03
311000,2015-10-15
400000,2019-11-27
184995,2003-06-27
50500,1996-05-31
490000,2022-06-06
440000,2016-08-08
230000,2011-05-13
230000,2008-04-30
210000,2005-07-29
52000,1999-11-22
190000,2009-06-26
268000,2008-04-25
182000,2003-01-23
180000,2009-06-19
240000,2008-09-10
218000,2007-02-09
150000,2009-08-21
235000,2008-12-01
210000,2005-02-24
140000,2002-06-10
435000,2021-01-14
418000,2021-12-03
350000,2016-09-02
200000,2007-08-10
420000,2020-10-07
223000,2004-11-18
145000,2001-06-22
196000,2009-12-09
203000,2006-10-27
175000,2003-02-21
197500,2005-06-03
92995,1999-08-27
385000,2018-02-28
175000,2006-04-06
203000,2010-05-17
350000,2021-06-18
158000,2003-02-06
270000,2008-10-24
110000,1999-12-06
95000,1998-09-30
87000,2001-04-27
336000,2020-11-17
360000,2015-11-13
250000,2015-03-13
112000,2001-07-27
430000,2023-04-14
414000,2022-12-09
330000,2022-09-28
220000,2009-12-18
219000,2007-04-17
226000,2013-07-31
210000,2012-08-24
250000,2007-09-07
135000,2002-06-07
220000,2013-07-19
198000,2005-03-16
160000,2003-07-23
184500,2004-08-05
332500,2015-12-14
95000,2001-04-12
87000,1998-08-28
76000,1997-11-19
350000,2020-08-14
250000,2014-05-12
270000,2017-02-09
232000,2008-05-30
187000,2009-07-13
430000,2021-02-08
74000,1996-11-15
455000,2021-06-30
98000,1999-04-23
380000,2021-10-29
350000,2018-07-12
61000,1996-07-31
107500,2000-06-30
460000,2021-11-18
243000,2007-04-20
97000,1999-11-05
83495,1999-03-19
82000,1999-02-25
85500,1997-12-05
72000,1996-11-29
320000,2014-10-24
377500,2020-08-19
144500,2015-07-14
60450,2001-10-08
125000,2000-03-30
190000,2009-02-16
265000,2014-05-29
163000,2005-11-18
113000,2000-04-14
470000,2021-10-01
81000,1998-07-24
173000,2005-12-07
176000,2005-08-10
117000,2001-08-30
400000,2016-07-21
246500,2006-10-06
183000,2003-04-22
75000,1996-05-31
385000,2019-05-14
160000,2004-07-13
275000,2008-05-02
243000,2007-04-20
155000,2002-12-02
89995,1998-06-26
218000,2011-04-01
194995,2004-05-14
270000,2015-03-27
178000,2004-11-30
134995,2002-02-08
197000,2006-10-02
144000,2002-03-28
104995,2000-01-18
220000,2012-08-20
210000,2010-01-15
106000,2001-02-28
400000,2018-12-07
167000,2004-05-14
250000,2015-01-23
185000,2005-11-30
115500,2000-07-07
169995,2002-10-24
225000,2008-08-08
400000,2017-03-31
154500,2002-07-02
380000,2023-04-04
54000,1997-06-09
371000,2019-10-04
230000,2010-09-15
189995,2005-12-16
88000,1998-07-03
66000,1996-06-14
475000,2022-04-29
178000,2003-12-01
91000,1999-05-28
197000,2003-10-17
62000,1996-06-28
92000,2003-03-24
91000,1998-12-14
71000,1995-02-24
170000,2005-09-27
85000,2001-07-06
225000,2007-12-12
82000,1997-09-26
167995,2002-10-10
80000,1997-05-29
475000,2022-07-26
350000,2019-01-11
185000,2011-06-02
222000,2007-01-29
195000,2004-12-06
190000,2007-05-04
178000,2004-01-16
164000,2002-11-15
128000,2001-09-21
85000,1999-07-26
218000,2006-11-30
174000,2004-01-29
103000,2000-02-09
90000,1999-05-14
84995,1997-10-24
65000,1995-10-13
203000,2007-02-12
92000,2000-09-08
430000,2022-03-03
359000,2016-02-15
182500,2006-12-19
455000,2021-06-30
313000,2014-11-03
242500,2011-04-28
192000,2003-05-12
187500,2010-01-29
84000,1999-09-21
190000,2006-10-12
212000,2007-01-04
215000,2012-12-20
225000,2012-03-23
350000,2016-08-12
275000,2015-10-13
120000,2002-06-28
430000,2021-10-13
250000,2003-07-29
420000,2020-09-25
168000,2003-02-28
355000,2020-08-26
99500,1999-09-30
63000,1996-10-31
157000,2003-08-05
235000,2007-01-02
192000,2009-05-20
123000,2002-01-04
525000,2022-07-22
300000,2014-09-19
225000,2009-04-03
265000,2007-11-07
232000,2005-06-09
290000,2015-05-07
94995,2000-04-14
194000,2011-06-17
86500,2003-08-29
310000,2015-05-20
225000,2006-11-30
170000,2003-05-30
144500,2002-04-05
63750,1996-12-09
195000,2009-07-10
173000,2004-01-15
86000,1999-02-24
239000,2007-02-12
145000,2002-01-09
249000,2007-11-16
75000,1997-11-14
60000,1996-04-12
233000,2007-06-05
351500,2015-11-17
405000,2021-06-28
199995,2009-10-02
79500,1997-10-24
365000,2016-03-14
116000,2000-07-07
71500,1997-05-20
350000,2019-07-04
285000,2014-08-26
179000,2004-01-30
365000,2016-04-29
355000,2018-10-10
200000,2012-12-19
225000,2012-12-14
190000,2005-12-08
355000,2017-11-24
184000,2005-05-13
125000,2001-08-31
368500,2016-07-20
210000,2010-10-29
59995,1996-05-30
71500,1996-07-12
405000,2018-09-12
240000,2014-01-28
207500,2010-01-29
65000,1995-08-11
220000,2007-07-20
165000,2003-05-27
180000,2005-03-08
62000,1995-05-12
91500,1999-10-26
189000,2004-07-20
405000,2021-06-29
205000,2006-08-16
149995,2003-01-29
114995,2001-11-29
280000,2014-11-25
342000,2017-12-13
98000,2000-02-16
274995,2013-02-28
205000,2005-08-02
179000,2003-10-31
89000,1998-06-29
192000,2004-03-26
248000,2013-02-12
88000,1998-08-24
215000,2005-03-03
123000,2001-04-25
89995,1998-10-30
217500,2006-09-07
162000,2002-09-11
81500,1999-06-11
428000,2020-07-20
330000,2020-01-27
300000,2019-11-15
375000,2021-03-16
233000,2007-11-09
194000,2006-06-02
75000,1997-07-25
185000,2005-09-14
270000,2008-10-30
145000,2000-12-15
228000,2003-10-24
78000,1997-06-04
230000,2008-02-08
64000,1997-09-26
385000,2018-07-05
122000,2001-10-19
86500,1999-03-26
123000,2001-09-26
76500,1997-11-21
213000,2011-01-07
212500,2012-12-03
95000,2001-05-04
222000,2007-02-15
215000,2006-07-27
190000,2005-11-11
129995,2001-11-15
175000,2010-02-26
360000,2016-08-31
235000,2012-09-07
200000,2011-05-19
198000,2011-12-12
308000,2014-10-10
128000,2001-11-05
235000,2013-01-30
178995,2003-07-11
72000,1998-12-18
67000,1996-12-04
245000,2012-08-01
209995,2006-09-08
133500,2002-04-30
73995,1996-08-16
380000,2022-09-09
340000,2022-02-07
330000,2015-05-22
196000,2006-04-28
180000,2004-04-02
120000,2001-07-13
370000,2019-11-01
197000,2006-01-27
120000,2001-04-06
79000,1997-07-31
127000,2001-12-10
425000,2017-10-20
243000,2005-01-21
77500,1998-02-13
205000,2006-04-28
160000,2002-11-04
249999,2006-11-10
425000,2023-08-07
218000,2010-04-01
182000,2003-04-07
433000,2016-04-15
380000,2018-08-10
206000,2005-12-19
420000,2021-02-26
200000,2013-07-17
215000,2011-02-09
65150,1997-05-23
292000,2015-09-21
175000,2009-08-21
110000,2000-06-12
249995,2008-01-10
157500,2004-02-27
295000,2015-05-07
199000,2012-07-06
82500,1998-11-09
160000,2003-02-04
134995,2002-07-19
175995,2003-03-06
205000,2011-09-30
180000,2006-08-02
196000,2005-11-29
99995,2000-01-13
247000,2007-08-31
139000,2004-11-15
295000,2007-02-09
114000,1999-03-12
420000,2017-11-15
215000,2009-11-23
157000,2002-06-21
236500,2013-10-30
232000,2011-03-18
210000,2004-08-25
72000,1997-11-28
163000,2002-08-23
80000,1998-04-30
225000,2006-09-29
185500,2006-03-14
175000,2005-02-25
270000,2010-01-22
270000,2010-01-22
270000,2010-01-22
245000,2007-05-17
217000,2006-05-18
425000,2017-08-10
221000,2012-06-25
193000,2004-05-07
177000,2004-05-18
102000,2000-12-04
280000,2003-09-16
215000,2021-12-23
140000,2012-06-15
220000,2008-01-08
140000,2001-09-21
67000,1998-04-08
100000,1998-04-16
90000,1997-09-08
720000,2022-12-16
510000,2019-03-29
115000,1998-05-08
291000,2007-01-19
275000,2011-01-28
230000,2002-06-06
260000,2008-07-18
250000,2010-02-22
229995,2001-10-17
565000,2016-10-21
405000,2014-02-19
321000,2011-11-10
292000,2006-09-21
120000,1998-04-01
525000,2021-09-03
490000,2018-02-02
240000,2003-02-03
603000,2017-03-23
124000,1999-05-06
375000,2013-10-28
320000,2013-03-18
536000,2019-05-31
713000,2022-09-23
320000,2007-09-19
570000,2020-11-16
270000,2004-04-30
96500,1996-12-19
454500,2011-11-10
400000,2005-02-28
638000,2021-08-20
580000,2019-11-27
385000,2014-02-27
310000,2002-06-21
117000,1997-12-18
480000,2021-08-19
310000,2013-02-12
185000,2001-02-09
144000,1999-07-14
91500,1997-07-30
460000,2016-02-12
231500,2009-02-27
142000,1999-12-16
572000,2020-11-23
280000,2012-10-19
390000,2007-07-06
390000,2007-07-06
350000,2022-07-14
624000,2016-10-28
330000,2007-02-05
175000,2001-11-16
91000,1996-12-18
450000,2015-09-18
208000,2002-09-27
445000,2019-10-29
228000,2003-08-12
392750,2012-11-30
585000,2019-04-17
125000,1999-07-30
745000,2021-07-19
430000,2013-12-09
470000,2015-12-01
207500,2002-03-25
350000,2012-07-30
209995,2002-11-01
425000,2015-07-31
124000,1997-05-23
83000,1995-06-14
199995,2004-11-30
225000,2006-07-27
78500,1997-09-30
470000,2020-11-19
338000,2015-03-31
370000,2019-02-18
191000,2009-04-09
185000,2001-09-06
193000,2001-01-15
610000,2016-08-25
87000,1996-12-20
250000,2014-11-28
215000,2009-08-26
286726,2017-08-24
310000,2017-12-18
178000,2005-12-08
215000,2013-10-24
120000,2002-08-23
227000,2002-02-04
485000,2017-08-23
237500,2006-03-23
580000,2021-04-20
285000,2002-10-25
113000,1998-08-13
95000,1996-06-26
542000,2020-11-27
369995,2007-09-26
315000,2007-04-04
220000,2002-08-23
105000,1998-06-05
249995,2003-02-25
268000,2006-12-04
250000,2004-09-15
118000,1998-09-11
507500,2017-05-26
325000,2013-11-28
515000,2018-07-31
238000,2005-07-08
300000,2012-10-26
575000,2019-05-29
240000,2010-06-30
222000,2009-10-26
192000,2009-01-15
150000,2000-04-14
129995,1999-07-27
520000,2019-11-28
565000,2018-06-05
305000,2010-07-26
249950,2002-11-29
283000,2013-12-06
190000,2001-12-05
124500,1999-06-04
570000,2018-12-14
289995,2006-05-03
515000,2020-10-15
440000,2017-09-26
380000,2015-04-23
431500,2015-09-30
250000,2004-01-07
300000,2010-10-01
178500,2001-06-22
118000,1998-05-21
79000,1996-11-04
510000,2016-03-29
308750,2011-07-21
285000,2013-07-05
249995,2002-11-21
515000,2015-09-04
249995,2003-07-24
259995,2004-01-30
97000,1996-03-14
295000,2011-02-03
250000,2005-02-28
215000,2003-12-05
329400,2008-04-14
287500,2004-09-30
290000,2012-07-25
237000,2004-01-23
585000,2018-01-15
340000,2014-03-13
209950,2002-01-25
495000,2019-06-13
103000,1995-01-23
625000,2019-11-18
332500,2008-04-07
280000,2006-04-12
144995,1999-10-20
72000,1998-09-30
355000,2005-12-16
